id,x,y,z,D
293,-73589.12,3605.45,3978.73,1161.5
294,-75162.04,4563.66,3957.23,1192.8
295,-72550.28,3520.54,3933.68,1048.3
296,-82075.67,1455.52,4260.14,1170.6
297,-69954.29,-1434.29,3793.70,4326.5
298,-67739.13,615.56,4278.81,1587.8
299,-66812.96,-394.20,4242.11,1842.9
300,-66803.94,-2159.02,4208.50,2530.7
301,-68500.80,-3966.29,4010.66,2981.8
302,-69179.09,-7074.44,3822.18,5779.1
303,-71288.34,-5006.39,3990.57,3335.4
304,-73154.20,-5100.39,4389.67,1381.3
305,-73987.99,-2698.78,4068.26,1152.2
306,-73073.08,-7956.85,3954.94,3668.6
307,-75594.71,-7726.39,4213.89,1653.1
308,-76858.90,-8354.08,4220.36,1797.7
309,-78355.20,-8199.43,4242.95,1097.5
310,-77994.65,-7101.73,4242.41,1062.9
311,-79056.03,-5694.73,4205.54,1981.7
312,-79333.20,-7307.93,4270.38,1285.9
313,-79342.22,-10015.80,4204.33,1778.9
314,-78434.07,-9063.65,4276.33,1200.5
315,-76457.78,-10273.55,4091.84,2247.2
316,-79141.66,-13412.02,4042.26,1446.1
317,-78314.64,-18269.82,3998.31,1162.0
318,-76520.88,-17341.92,3775.70,1684.7
319,-72137.89,-13227.05,3670.24,4194.8
320,-73568.84,-10610.14,4022.21,1615.7
321,-74702.33,-9943.03,4187.02,1119.2
322,-73316.45,-17184.24,3694.93,2367.4
323,-71862.97,-17620.90,3626.94,1823.5
324,-73014.49,-21917.72,3461.33,1828.1
325,-76507.36,-23254.98,3733.66,1661.3
326,-74048.83,-24343.59,3508.40,2467.6
327,-78560.27,-24413.33,3700.35,2491.6
328,-77370.44,-27063.59,3426.69,2541.0
329,-79982.20,-25414.00,3942.41,1366.3
330,-85681.21,-25359.42,4422.60,2016.3
331,-82751.71,-26147.83,4357.85,1163.0
332,-69947.53,-19215.91,3639.22,1110.7
333,-68489.53,-22108.75,3610.91,1791.2
334,-65609.61,-24622.56,3874.37,1226.0
335,-61168.03,-25511.03,3849.68,2817.0
336,-62959.53,-25565.62,3987.62,1095.6
337,-60201.29,1795.14,4395.33,2443.1
338,-59471.17,4114.88,4609.99,1720.7
339,-59554.55,6707.53,4728.19,1536.7
340,-63293.05,3453.83,4376.92,1979.8
341,-59890.32,-3611.51,4371.96,2367.6
342,-60090.87,-5203.49,4219.02,3423.5
343,-63268.26,-1958.89,4385.02,1602.9
344,-62763.48,-3699.45,4437.42,3142.0
345,-65343.70,-3390.15,4508.72,1400.9
346,-65023.71,-1692.04,4417.81,1053.0
347,-61765.20,-1212.93,4330.56,1344.0
348,-59054.28,1115.90,4442.42,1384.5
349,-52715.29,3359.83,2190.33,2558.7
350,-48406.66,8451.12,1228.85,2705.5
351,-47804.99,11201.45,1142.00,3036.1
352,-43870.44,8590.61,853.88,2190.5
353,-47710.34,4530.31,942.19,3790.2
354,-46362.77,7174.50,991.80,1635.6
355,-53409.35,6843.98,2491.08,2291.0
356,-63405.72,-10446.39,4417.41,1528.5
357,-65832.70,-10082.51,4369.86,3137.0
358,-68286.72,-11974.69,4433.70,1615.5
359,-68467.00,-10467.62,4525.86,1593.5
360,-59374.27,-12526.58,4222.19,4639.0
361,-55583.95,-11571.39,4586.21,2194.2
362,-54198.06,-12769.16,4536.26,1700.9
363,-53184.01,-14000.29,4492.33,2320.4
364,-52559.80,-15928.86,4429.24,1877.7
365,-53366.54,-17793.74,4235.04,3547.2
366,-58261.06,-16316.99,4281.84,3356.6
367,-62862.63,-15279.94,4233.63,1756.9
368,-64079.51,-14012.42,4189.70,2105.6
369,-63331.35,-11604.75,4481.84,3030.6
370,-67552.09,-13930.55,4123.35,1758.4
371,-70670.89,-15386.07,3847.49,1268.8
372,-67975.74,-15683.24,3881.66,1631.8
373,-62653.06,-17269.15,4079.03,1336.0
374,-60825.50,-18509.37,4131.42,1361.8
375,-64525.69,-18542.73,3772.31,1721.3
376,-64093.03,-20331.81,3882.26,2286.1
377,-65483.41,-16996.24,3675.07,3945.7
378,-58202.47,-23803.83,4256.74,1627.8
379,-57508.40,-22606.06,4223.68,2813.0
380,-58517.96,-20883.69,4421.64,1363.4
381,-59500.47,-21432.54,4452.33,1334.6
382,-59624.41,-22915.36,4426.54,1085.3
383,-64041.20,-24889.41,3932.61,1469.9
384,-55536.62,-19167.39,4615.89,2161.3
385,-58310.64,-18563.96,4416.10,1399.6
386,-57654.88,-19789.02,4324.43,2865.3
387,-56122.52,-21432.54,4542.22,1086.0
388,-56296.04,-24349.65,4356.38,1194.5
389,-54035.82,-23737.12,4068.20,2572.6
390,-51164.90,-25344.26,4158.72,1796.3
391,-50229.71,-27727.67,4045.84,1681.0
392,-58779.36,-26444.99,4050.51,1217.2
393,-68133.49,-25790.01,3518.58,2371.3
